rank	source	target	interaction	pearson_r	abs_r	correlation_sign	source_degree	target_degree	core_score	source_annotation	target_annotation
162	Lchi06007	Lchi05990	positive_coexpression	0.99502534	0.99502534	positive	1027	175	421.83089759	homeobox-leucine zipper protein HAT2-like	oleosin Cor a 13-like
163	Lchi13937	Lchi02750	negative_coexpression	-0.98792249	0.98792249	negative	1030	177	421.82092312	B3 domain-containing protein Os03g0212300-like	LRR receptor-like serine/threonine-protein kinase ERECTA
164	Lchi23901	Lchi02104	negative_coexpression	-0.96494198	0.96494198	negative	1111	172	421.81542187	B-box zinc finger protein 20-like	bidirectional sugar transporter SWEET1
165	Lchi08487	Lchi17443	negative_coexpression	-0.98121554	0.98121554	negative	1021	181	421.80971319	WUSCHEL-related homeobox 9	plant/F18G18-20 protein
166	Lchi07566	Lchi28090	positive_coexpression	0.99701053	0.99701053	positive	1059	169	421.78494826	LOB domain-containing protein 25-like isoform X3	protein P21-like protein
167	Lchi09693	Lchi26693	positive_coexpression	0.98626500	0.98626500	positive	1033	177	421.72603752	homeobox-leucine zipper protein ATHB-6-like	zinc-finger homeodomain protein 1-like
168	Lchi06007	Lchi17443	positive_coexpression	0.97799206	0.97799206	positive	1027	181	421.65750838	homeobox-leucine zipper protein HAT2-like	plant/F18G18-20 protein
169	Lchi23901	Lchi13511	positive_coexpression	0.97023135	0.97023135	positive	1111	170	421.65455239	B-box zinc finger protein 20-like	auxin-induced protein 22B-like
170	Lchi07566	Lchi31555	negative_coexpression	-0.98509836	0.98509836	negative	1059	173	421.64856601	LOB domain-containing protein 25-like isoform X3	protein CHUP1, chloroplastic-like isoform X1
171	Lchi06007	Lchi16452	positive_coexpression	0.99176300	0.99176300	positive	1027	176	421.64743002	homeobox-leucine zipper protein HAT2-like	protein AUXIN SIGNALING F-BOX 2-like
172	Lchi23901	Lchi03719	positive_coexpression	0.97305340	0.97305340	positive	1111	169	421.63538998	B-box zinc finger protein 20-like	serine carboxypeptidase II-2-like
173	Lchi02953	Lchi09003	positive_coexpression	0.97158855	0.97158855	positive	1070	176	421.62913248	homeobox-leucine zipper protein ATHB-13-like isoform X1	allene oxide synthase 1, chloroplastic-like
174	Lchi00158	Lchi17443	positive_coexpression	0.98214835	0.98214835	positive	1018	181	421.58996780	transcription factor bHLH147	plant/F18G18-20 protein
175	Lchi07566	Lchi04752	positive_coexpression	0.99355233	0.99355233	positive	1059	170	421.56367992	LOB domain-containing protein 25-like isoform X3	ABC transporter-like protein
176	Lchi09693	Lchi00354	positive_coexpression	0.99427092	0.99427092	positive	1033	174	421.53100356	homeobox-leucine zipper protein ATHB-6-like	stress-related protein-like
177	Lchi15176	Lchi16235	positive_coexpression	0.99026966	0.99026966	positive	1001	181	421.51186065	transcription factor EGL1-like isoform X1	beta-glucosidase 44-like
178	Lchi06007	Lchi09003	positive_coexpression	0.99130225	0.99130225	positive	1027	176	421.45154244	homeobox-leucine zipper protein HAT2-like	allene oxide synthase 1, chloroplastic-like
179	Lchi13371	Lchi05513	positive_coexpression	0.98220444	0.98220444	positive	1040	177	421.41034805	ethylene-responsive transcription factor 4-like	methyl-CpG-binding domain-containing protein 11-like isoform X1
180	Lchi23901	Lchi11837	positive_coexpression	0.97539347	0.97539347	positive	1111	168	421.39707243	B-box zinc finger protein 20-like	alpha-mannosidase At3g26720-like
181	Lchi23901	Lchi16452	positive_coexpression	0.95294404	0.95294404	positive	1111	176	421.38663934	B-box zinc finger protein 20-like	protein AUXIN SIGNALING F-BOX 2-like
182	Lchi18250	Lchi11589	positive_coexpression	0.97891307	0.97891307	positive	1077	172	421.32400337	transcription factor bHLH93	ribonuclease 3-like
183	Lchi09693	Lchi02750	positive_coexpression	0.98529148	0.98529148	positive	1033	177	421.30976124	homeobox-leucine zipper protein ATHB-6-like	LRR receptor-like serine/threonine-protein kinase ERECTA
184	Lchi22877	Lchi14169	positive_coexpression	0.98978800	0.98978800	positive	1041	174	421.25219137	transcription factor AS1	putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase 2
185	Lchi15589	Lchi16235	positive_coexpression	0.95850724	0.95850724	positive	1067	181	421.22767289	trihelix transcription factor GTL1 isoform X1	beta-glucosidase 44-like
186	Lchi18250	Lchi07558	positive_coexpression	0.98136199	0.98136199	positive	1077	171	421.14838515	transcription factor bHLH93	leucine-rich repeat receptor-like serine/threonine-protein kinase RGI4
187	Lchi07566	Lchi03719	positive_coexpression	0.99545729	0.99545729	positive	1059	169	421.12785064	LOB domain-containing protein 25-like isoform X3	serine carboxypeptidase II-2-like
188	Lchi08779	Lchi17168	positive_coexpression	0.98866946	0.98866946	positive	1025	177	421.11400488	AP2/ERF and B3 domain-containing transcription repressor RAV2-like	thiamine thiazole synthase 2, chloroplastic-like
189	Lchi13371	Lchi17168	positive_coexpression	0.98146594	0.98146594	positive	1040	177	421.09349799	ethylene-responsive transcription factor 4-like	thiamine thiazole synthase 2, chloroplastic-like
190	Lchi13937	Lchi07386	negative_coexpression	-0.98896724	0.98896724	negative	1030	176	421.07247388	B3 domain-containing protein Os03g0212300-like	potassium transporter 2
191	Lchi00158	Lchi16235	positive_coexpression	0.98076570	0.98076570	positive	1018	181	420.99646136	transcription factor bHLH147	beta-glucosidase 44-like
192	Lchi09693	Lchi27946	positive_coexpression	0.98164779	0.98164779	positive	1033	178	420.93579190	homeobox-leucine zipper protein ATHB-6-like	receptor protein kinase CLAVATA1
193	Lchi09693	Lchi25188	positive_coexpression	0.98434508	0.98434508	positive	1033	177	420.90508144	homeobox-leucine zipper protein ATHB-6-like	villin-1 isoform X1
194	Lchi18250	Lchi27397	positive_coexpression	0.98640805	0.98640805	positive	1077	169	420.83108499	transcription factor bHLH93	p-coumarate 3-hydroxylase-like
195	Lchi08487	Lchi11642	negative_coexpression	-0.98164594	0.98164594	negative	1021	180	420.82738974	WUSCHEL-related homeobox 9	arogenate dehydrogenase 2, chloroplastic-like
196	Lchi09693	Lchi17921	positive_coexpression	0.99237221	0.99237221	positive	1033	174	420.72602665	homeobox-leucine zipper protein ATHB-6-like	probable polygalacturonase
197	Lchi23901	Lchi17197	positive_coexpression	0.99164945	0.99164945	positive	1111	162	420.70019381	B-box zinc finger protein 20-like	oil body-associated protein 1A-like
198	Lchi08779	Lchi08727	positive_coexpression	0.98769784	0.98769784	positive	1025	177	420.70015293	AP2/ERF and B3 domain-containing transcription repressor RAV2-like	LAX3-1
199	Lchi07566	Lchi01554	positive_coexpression	0.98276275	0.98276275	positive	1059	173	420.64886218	LOB domain-containing protein 25-like isoform X3	aquaporin TIP3-1-like
200	Lchi02953	Lchi06352	positive_coexpression	0.99212766	0.99212766	positive	1070	168	420.64340803	homeobox-leucine zipper protein ATHB-13-like isoform X1	polygalacturonase At1g48100
201	Lchi06972	Lchi28705	positive_coexpression	0.98161179	0.98161179	positive	1055	174	420.57225588	transcription factor bHLH149-like	oleosin S1-2
202	Lchi05992	Lchi16235	positive_coexpression	0.97829783	0.97829783	positive	1021	181	420.55543382	ethylene-responsive transcription factor 2-like	beta-glucosidase 44-like
203	Lchi18250	Lchi05599	positive_coexpression	0.96595252	0.96595252	positive	1077	176	420.55225439	transcription factor bHLH93	protein kinase PINOID 2
204	Lchi02953	Lchi22953	positive_coexpression	0.98302585	0.98302585	positive	1070	171	420.48923552	homeobox-leucine zipper protein ATHB-13-like isoform X1	aspartyl protease family protein 2
205	Lchi08779	Lchi25188	positive_coexpression	0.98715752	0.98715752	positive	1025	177	420.47000895	AP2/ERF and B3 domain-containing transcription repressor RAV2-like	villin-1 isoform X1
206	Lchi07566	Lchi03143	positive_coexpression	0.98221207	0.98221207	positive	1059	173	420.41315634	LOB domain-containing protein 25-like isoform X3	scopoletin glucosyltransferase-like
207	Lchi23901	Lchi17317	positive_coexpression	0.97020137	0.97020137	positive	1111	169	420.39957211	B-box zinc finger protein 20-like	probable protein phosphatase 2C 52 isoform X1
208	Lchi23901	Lchi24864	positive_coexpression	0.97003454	0.97003454	positive	1111	169	420.32728273	B-box zinc finger protein 20-like	(S)-coclaurine N-methyltransferase-like isoform X1
209	Lchi09693	Lchi18724	positive_coexpression	0.98013937	0.98013937	positive	1033	178	420.28897339	homeobox-leucine zipper protein ATHB-6-like	protein DETOXIFICATION 33-like
210	Lchi23901	Lchi23975	positive_coexpression	0.98155838	0.98155838	positive	1111	165	420.25717492	B-box zinc finger protein 20-like	Anthocyanidin reductase ((2S)-flavan-3-ol-forming)
211	Lchi02953	Lchi31555	negative_coexpression	-0.97677475	0.97677475	negative	1070	173	420.25158958	homeobox-leucine zipper protein ATHB-13-like isoform X1	protein CHUP1, chloroplastic-like isoform X1
212	Lchi23901	Lchi12025	positive_coexpression	0.95300812	0.95300812	positive	1111	175	420.21606811	B-box zinc finger protein 20-like	protein neprosin-like
213	Lchi02953	Lchi08727	positive_coexpression	0.96557373	0.96557373	positive	1070	177	420.20765870	homeobox-leucine zipper protein ATHB-13-like isoform X1	LAX3-1
214	Lchi18250	Lchi25188	positive_coexpression	0.96237069	0.96237069	positive	1077	177	420.18144713	transcription factor bHLH93	villin-1 isoform X1
215	Lchi09693	Lchi14169	positive_coexpression	0.99107414	0.99107414	positive	1033	174	420.17569702	homeobox-leucine zipper protein ATHB-6-like	putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase 2
216	Lchi07566	Lchi11647	positive_coexpression	0.99027503	0.99027503	positive	1059	170	420.17312342	LOB domain-containing protein 25-like isoform X3	ketol-acid reductoisomerase, chloroplastic-like
217	Lchi05992	Lchi17443	positive_coexpression	0.97729188	0.97729188	positive	1021	181	420.12299113	ethylene-responsive transcription factor 2-like	plant/F18G18-20 protein
218	Lchi13937	Lchi05599	negative_coexpression	-0.98671269	0.98671269	negative	1030	176	420.11255437	B3 domain-containing protein Os03g0212300-like	protein kinase PINOID 2
219	Lchi15589	Lchi14169	positive_coexpression	0.97493780	0.97493780	positive	1067	174	420.08168076	trihelix transcription factor GTL1 isoform X1	putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase 2
220	Lchi22877	Lchi18724	positive_coexpression	0.97584724	0.97584724	positive	1041	178	420.06568346	transcription factor AS1	protein DETOXIFICATION 33-like
221	Lchi07566	Lchi17921	positive_coexpression	0.97847104	0.97847104	positive	1059	174	420.02058984	LOB domain-containing protein 25-like isoform X3	probable polygalacturonase
222	Lchi09693	Lchi09003	positive_coexpression	0.98503673	0.98503673	positive	1033	176	420.00931219	homeobox-leucine zipper protein ATHB-6-like	allene oxide synthase 1, chloroplastic-like
223	Lchi06972	Lchi05599	positive_coexpression	0.97462147	0.97462147	positive	1055	176	419.97026082	transcription factor bHLH149-like	protein kinase PINOID 2
224	Lchi15176	Lchi11642	positive_coexpression	0.98919266	0.98919266	positive	1001	180	419.88868969	transcription factor EGL1-like isoform X1	arogenate dehydrogenase 2, chloroplastic-like
225	Lchi18250	Lchi15600	positive_coexpression	0.98707563	0.98707563	positive	1077	168	419.86814098	transcription factor bHLH93	actin-101
226	Lchi06007	Lchi01554	positive_coexpression	0.99608958	0.99608958	positive	1027	173	419.86209685	homeobox-leucine zipper protein HAT2-like	aquaporin TIP3-1-like
227	Lchi18004	Lchi18724	positive_coexpression	0.99458271	0.99458271	positive	1001	178	419.82466007	transcription factor bHLH13-like isoform X2	protein DETOXIFICATION 33-like
228	Lchi18250	Lchi11647	positive_coexpression	0.98086256	0.98086256	positive	1077	170	419.70145032	transcription factor bHLH93	ketol-acid reductoisomerase, chloroplastic-like
229	Lchi06972	Lchi08727	positive_coexpression	0.97112042	0.97112042	positive	1055	177	419.64876489	transcription factor bHLH149-like	LAX3-1
230	Lchi23901	Lchi11397	positive_coexpression	0.99529159	0.99529159	positive	1111	160	419.63079827	B-box zinc finger protein 20-like	lysM domain receptor-like kinase 3
231	Lchi08779	Lchi25772	positive_coexpression	0.97953457	0.97953457	positive	1025	179	419.57365980	AP2/ERF and B3 domain-containing transcription repressor RAV2-like	cysteine proteinase inhibitor 5-like
232	Lchi23901	Lchi06116	positive_coexpression	0.95974743	0.95974743	positive	1111	172	419.54467260	B-box zinc finger protein 20-like	probable galactinol--sucrose galactosyltransferase 2 isoform X1
233	Lchi06972	Lchi04752	positive_coexpression	0.99066484	0.99066484	positive	1055	170	419.54392810	transcription factor bHLH149-like	ABC transporter-like protein
234	Lchi08779	Lchi05599	positive_coexpression	0.98774350	0.98774350	positive	1025	176	419.52944451	AP2/ERF and B3 domain-containing transcription repressor RAV2-like	protein kinase PINOID 2
235	Lchi08779	Lchi17615	positive_coexpression	0.98492813	0.98492813	positive	1025	177	419.52042227	AP2/ERF and B3 domain-containing transcription repressor RAV2-like	zinc finger CCCH domain-containing protein 53-like isoform X2
236	Lchi06972	Lchi25772	positive_coexpression	0.96536314	0.96536314	positive	1055	179	419.51110113	transcription factor bHLH149-like	cysteine proteinase inhibitor 5-like
237	Lchi15176	Lchi27946	positive_coexpression	0.99383140	0.99383140	positive	1001	178	419.50752358	transcription factor EGL1-like isoform X1	receptor protein kinase CLAVATA1
238	Lchi06972	Lchi07558	positive_coexpression	0.98765481	0.98765481	positive	1055	171	419.49758806	transcription factor bHLH149-like	leucine-rich repeat receptor-like serine/threonine-protein kinase RGI4
239	Lchi06007	Lchi16689	positive_coexpression	0.99222088	0.99222088	positive	1027	174	419.43841918	homeobox-leucine zipper protein HAT2-like	xyloglucan endotransglucosylase protein 2-like
240	Lchi23901	Lchi01554	positive_coexpression	0.95654380	0.95654380	positive	1111	173	419.35800943	B-box zinc finger protein 20-like	aquaporin TIP3-1-like
241	Lchi13371	Lchi17615	positive_coexpression	0.97739679	0.97739679	positive	1040	177	419.34764768	ethylene-responsive transcription factor 4-like	zinc finger CCCH domain-containing protein 53-like isoform X2
242	Lchi06007	Lchi17615	positive_coexpression	0.98352563	0.98352563	positive	1027	177	419.33154746	homeobox-leucine zipper protein HAT2-like	zinc finger CCCH domain-containing protein 53-like isoform X2
243	Lchi13937	Lchi00354	negative_coexpression	-0.99047667	0.99047667	negative	1030	174	419.31218888	B3 domain-containing protein Os03g0212300-like	stress-related protein-like
244	Lchi05992	Lchi17168	positive_coexpression	0.98634225	0.98634225	positive	1021	177	419.30219970	ethylene-responsive transcription factor 2-like	thiamine thiazole synthase 2, chloroplastic-like
245	Lchi23901	Lchi06311	positive_coexpression	0.99448538	0.99448538	positive	1111	160	419.29088729	B-box zinc finger protein 20-like	S-adenosylmethionine synthase 5
246	Lchi15176	Lchi25772	positive_coexpression	0.99045140	0.99045140	positive	1001	179	419.25352662	transcription factor EGL1-like isoform X1	cysteine proteinase inhibitor 5-like
247	Lchi07566	Lchi01000	positive_coexpression	0.98802996	0.98802996	positive	1059	170	419.22054152	LOB domain-containing protein 25-like isoform X3	V-type proton ATPase subunit B 2 isoform X1
248	Lchi06007	Lchi03143	positive_coexpression	0.99450839	0.99450839	positive	1027	173	419.19560885	homeobox-leucine zipper protein HAT2-like	scopoletin glucosyltransferase-like
249	Lchi23901	Lchi02405	positive_coexpression	0.99418515	0.99418515	positive	1111	160	419.16430553	B-box zinc finger protein 20-like	serine carboxypeptidase-like 45
250	Lchi23901	Lchi03143	positive_coexpression	0.95603228	0.95603228	positive	1111	173	419.13375413	B-box zinc finger protein 20-like	scopoletin glucosyltransferase-like
251	Lchi06972	Lchi07386	positive_coexpression	0.97263348	0.97263348	positive	1055	176	419.11362396	transcription factor bHLH149-like	potassium transporter 2
252	Lchi06007	Lchi12025	positive_coexpression	0.98857939	0.98857939	positive	1027	175	419.09820249	homeobox-leucine zipper protein HAT2-like	protein neprosin-like
253	Lchi06972	Lchi11642	positive_coexpression	0.96170962	0.96170962	positive	1055	180	419.08917448	transcription factor bHLH149-like	arogenate dehydrogenase 2, chloroplastic-like
254	Lchi18250	Lchi12998	positive_coexpression	0.97937185	0.97937185	positive	1077	170	419.06359016	transcription factor bHLH93	putative disease resistance protein At5g47280
255	Lchi07566	Lchi12998	positive_coexpression	0.98762691	0.98762691	positive	1059	170	419.04952764	LOB domain-containing protein 25-like isoform X3	putative disease resistance protein At5g47280
256	Lchi13937	Lchi05990	negative_coexpression	-0.98695666	0.98695666	negative	1030	175	419.02093221	B3 domain-containing protein Os03g0212300-like	oleosin Cor a 13-like
257	Lchi15176	Lchi17615	positive_coexpression	0.99537915	0.99537915	positive	1001	177	418.97895705	transcription factor EGL1-like isoform X1	zinc finger CCCH domain-containing protein 53-like isoform X2
258	Lchi02953	Lchi28090	positive_coexpression	0.98519433	0.98519433	positive	1070	169	418.94512856	homeobox-leucine zipper protein ATHB-13-like isoform X1	protein P21-like protein
259	Lchi15589	Lchi18724	positive_coexpression	0.96116471	0.96116471	positive	1067	178	418.88038862	trihelix transcription factor GTL1 isoform X1	protein DETOXIFICATION 33-like
260	Lchi00158	Lchi17168	positive_coexpression	0.98675221	0.98675221	positive	1018	177	418.85975072	transcription factor bHLH147	thiamine thiazole synthase 2, chloroplastic-like
261	Lchi13937	Lchi28705	negative_coexpression	-0.98934609	0.98934609	negative	1030	174	418.83356481	B3 domain-containing protein Os03g0212300-like	oleosin S1-2
262	Lchi13371	Lchi17921	positive_coexpression	0.98435867	0.98435867	positive	1040	174	418.74020816	ethylene-responsive transcription factor 4-like	probable polygalacturonase
263	Lchi07566	Lchi02035	positive_coexpression	0.98683250	0.98683250	positive	1059	170	418.71245993	LOB domain-containing protein 25-like isoform X3	amino acid permease 3-like
264	Lchi07566	Lchi06116	positive_coexpression	0.98090112	0.98090112	positive	1059	172	418.63683071	LOB domain-containing protein 25-like isoform X3	probable galactinol--sucrose galactosyltransferase 2 isoform X1
265	Lchi08779	Lchi27946	positive_coexpression	0.97994304	0.97994304	positive	1025	178	418.57449944	AP2/ERF and B3 domain-containing transcription repressor RAV2-like	receptor protein kinase CLAVATA1
266	Lchi22877	Lchi11642	positive_coexpression	0.96686798	0.96686798	positive	1041	180	418.53212179	transcription factor AS1	arogenate dehydrogenase 2, chloroplastic-like
267	Lchi13371	Lchi00354	positive_coexpression	0.98385710	0.98385710	positive	1040	174	418.52684332	ethylene-responsive transcription factor 4-like	stress-related protein-like
268	Lchi06007	Lchi31555	negative_coexpression	-0.99289572	0.99289572	negative	1027	173	418.51585171	homeobox-leucine zipper protein HAT2-like	protein CHUP1, chloroplastic-like isoform X1
269	Lchi06972	Lchi11589	positive_coexpression	0.98243642	0.98243642	positive	1055	172	418.49946500	transcription factor bHLH149-like	ribonuclease 3-like
270	Lchi06972	Lchi11374	positive_coexpression	0.98239350	0.98239350	positive	1055	172	418.48118189	transcription factor bHLH149-like	dehydrin/lea group 2-like protein
271	Lchi02953	Lchi15600	positive_coexpression	0.98696816	0.98696816	positive	1070	168	418.45587738	homeobox-leucine zipper protein ATHB-13-like isoform X1	actin-101
272	Lchi02953	Lchi17317	positive_coexpression	0.98397774	0.98397774	positive	1070	169	418.42778448	homeobox-leucine zipper protein ATHB-13-like isoform X1	probable protein phosphatase 2C 52 isoform X1
273	Lchi09693	Lchi12025	positive_coexpression	0.98393536	0.98393536	positive	1033	175	418.34612762	homeobox-leucine zipper protein ATHB-6-like	protein neprosin-like
274	Lchi22877	Lchi05599	positive_coexpression	0.97734159	0.97734159	positive	1041	176	418.33873506	transcription factor AS1	protein kinase PINOID 2
275	Lchi09693	Lchi16452	positive_coexpression	0.98111385	0.98111385	positive	1033	176	418.33663737	homeobox-leucine zipper protein ATHB-6-like	protein AUXIN SIGNALING F-BOX 2-like
276	Lchi25021	Lchi11642	positive_coexpression	0.99091464	0.99091464	positive	990	180	418.30214797	heat stress transcription factor A-2b-like	arogenate dehydrogenase 2, chloroplastic-like
277	Lchi07566	Lchi27919	positive_coexpression	0.99757636	0.99757636	positive	1059	166	418.26177196	LOB domain-containing protein 25-like isoform X3	non-functional NADPH-dependent codeinone reductase 2-like isoform X1
278	Lchi13371	Lchi18724	positive_coexpression	0.97212040	0.97212040	positive	1040	178	418.26038003	ethylene-responsive transcription factor 4-like	protein DETOXIFICATION 33-like
279	Lchi06007	Lchi25188	positive_coexpression	0.98092765	0.98092765	positive	1027	177	418.22388444	homeobox-leucine zipper protein HAT2-like	villin-1 isoform X1
280	Lchi22877	Lchi25188	positive_coexpression	0.97430456	0.97430456	positive	1041	177	418.22186378	transcription factor AS1	villin-1 isoform X1
281	Lchi13371	Lchi02750	positive_coexpression	0.97477221	0.97477221	positive	1040	177	418.22158357	ethylene-responsive transcription factor 4-like	LRR receptor-like serine/threonine-protein kinase ERECTA
282	Lchi18004	Lchi16235	positive_coexpression	0.98253393	0.98253393	positive	1001	181	418.21911921	transcription factor bHLH13-like isoform X2	beta-glucosidase 44-like
283	Lchi18004	Lchi17443	positive_coexpression	0.98224580	0.98224580	positive	1001	181	418.09647563	transcription factor bHLH13-like isoform X2	plant/F18G18-20 protein
284	Lchi06007	Lchi00354	positive_coexpression	0.98902875	0.98902875	positive	1027	174	418.08902008	homeobox-leucine zipper protein HAT2-like	stress-related protein-like
285	Lchi07566	Lchi06352	positive_coexpression	0.99117076	0.99117076	positive	1059	168	418.07201978	LOB domain-containing protein 25-like isoform X3	polygalacturonase At1g48100
286	Lchi07566	Lchi25487	positive_coexpression	0.98215765	0.98215765	positive	1059	171	417.95279990	LOB domain-containing protein 25-like isoform X3	protein MOTHER of FT and TFL1-like protein
287	Lchi15589	Lchi16615	positive_coexpression	0.97271192	0.97271192	positive	1067	173	417.91648181	trihelix transcription factor GTL1 isoform X1	germin-like protein 5-1
288	Lchi23901	Lchi18761	positive_coexpression	0.96431273	0.96431273	positive	1111	169	417.84795570	B-box zinc finger protein 20-like	deSI-like protein At4g17486
289	Lchi08487	Lchi05513	negative_coexpression	-0.98291743	0.98291743	negative	1021	177	417.84628056	WUSCHEL-related homeobox 9	methyl-CpG-binding domain-containing protein 11-like isoform X1
290	Lchi07566	Lchi15600	positive_coexpression	0.99062485	0.99062485	positive	1059	168	417.84175704	LOB domain-containing protein 25-like isoform X3	actin-101
291	Lchi07566	Lchi27397	positive_coexpression	0.98768854	0.98768854	positive	1059	169	417.84128373	LOB domain-containing protein 25-like isoform X3	p-coumarate 3-hydroxylase-like
292	Lchi02953	Lchi02670	positive_coexpression	0.99136072	0.99136072	positive	1070	166	417.80885489	homeobox-leucine zipper protein ATHB-13-like isoform X1	peroxisomal (S)-2-hydroxyacid oxidase GLO4-like isoform X1
293	Lchi15176	Lchi25188	positive_coexpression	0.99259859	0.99259859	positive	1001	177	417.80855265	transcription factor EGL1-like isoform X1	villin-1 isoform X1
294	Lchi23901	Lchi02176	positive_coexpression	0.99092442	0.99092442	positive	1111	160	417.78952979	B-box zinc finger protein 20-like	beta-1,3-galactosyltransferase 7-like
295	Lchi15176	Lchi08727	positive_coexpression	0.99244905	0.99244905	positive	1001	177	417.74560768	transcription factor EGL1-like isoform X1	LAX3-1
296	Lchi00158	Lchi17615	positive_coexpression	0.98397970	0.98397970	positive	1018	177	417.68286676	transcription factor bHLH147	zinc finger CCCH domain-containing protein 53-like isoform X2
297	Lchi02953	Lchi19388	positive_coexpression	0.99403942	0.99403942	positive	1070	165	417.67402572	homeobox-leucine zipper protein ATHB-13-like isoform X1	L-type lectin-domain containing receptor kinase VIII.1
298	Lchi13937	Lchi16615	negative_coexpression	-0.98940909	0.98940909	negative	1030	173	417.65487977	B3 domain-containing protein Os03g0212300-like	germin-like protein 5-1
299	Lchi06007	Lchi06116	positive_coexpression	0.99362779	0.99362779	positive	1027	172	417.61219728	homeobox-leucine zipper protein HAT2-like	probable galactinol--sucrose galactosyltransferase 2 isoform X1
300	Lchi06007	Lchi07386	positive_coexpression	0.98211825	0.98211825	positive	1027	176	417.54697049	homeobox-leucine zipper protein HAT2-like	potassium transporter 2
301	Lchi23901	Lchi19388	positive_coexpression	0.97516900	0.97516900	positive	1111	165	417.52154264	B-box zinc finger protein 20-like	L-type lectin-domain containing receptor kinase VIII.1
302	Lchi13937	Lchi17921	negative_coexpression	-0.98624194	0.98624194	negative	1030	174	417.51944205	B3 domain-containing protein Os03g0212300-like	probable polygalacturonase
303	Lchi22877	Lchi28705	positive_coexpression	0.98097116	0.98097116	positive	1041	174	417.49975835	transcription factor AS1	oleosin S1-2
304	Lchi22877	Lchi05513	positive_coexpression	0.97261620	0.97261620	positive	1041	177	417.49713243	transcription factor AS1	methyl-CpG-binding domain-containing protein 11-like isoform X1
305	Lchi23901	Lchi03659	positive_coexpression	0.97793847	0.97793847	positive	1111	164	417.43656127	B-box zinc finger protein 20-like	probable xyloglucan glycosyltransferase 5
306	Lchi18250	Lchi19725	positive_coexpression	0.97269142	0.97269142	positive	1077	171	417.42743754	transcription factor bHLH93	glucose and ribitol dehydrogenase-like
307	Lchi00158	Lchi11642	positive_coexpression	0.97513044	0.97513044	positive	1018	180	417.41961703	transcription factor bHLH147	arogenate dehydrogenase 2, chloroplastic-like
308	Lchi02551	Lchi18724	positive_coexpression	0.97234172	0.97234172	positive	1035	178	417.34873008	transcription factor bHLH62-like isoform X1	protein DETOXIFICATION 33-like
309	Lchi22877	Lchi07386	positive_coexpression	0.97501206	0.97501206	positive	1041	176	417.34160914	transcription factor AS1	potassium transporter 2
310	Lchi22877	Lchi16615	positive_coexpression	0.98334712	0.98334712	positive	1041	173	417.30661254	transcription factor AS1	germin-like protein 5-1
311	Lchi09693	Lchi22953	positive_coexpression	0.99287993	0.99287993	positive	1033	171	417.29669773	homeobox-leucine zipper protein ATHB-6-like	aspartyl protease family protein 2
312	Lchi13371	Lchi14169	positive_coexpression	0.98086387	0.98086387	positive	1040	174	417.25354143	ethylene-responsive transcription factor 4-like	putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase 2
313	Lchi18250	Lchi25757	positive_coexpression	0.98384255	0.98384255	positive	1077	167	417.24552600	transcription factor bHLH93	cytochrome P450 71A1-like
314	Lchi08779	Lchi28705	positive_coexpression	0.98797542	0.98797542	positive	1025	174	417.23688719	AP2/ERF and B3 domain-containing transcription repressor RAV2-like	oleosin S1-2
315	Lchi13937	Lchi14169	negative_coexpression	-0.98554677	0.98554677	negative	1030	174	417.22514612	B3 domain-containing protein Os03g0212300-like	putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase 2
316	Lchi23901	Lchi22140	positive_coexpression	0.97148502	0.97148502	positive	1111	166	417.20276860	B-box zinc finger protein 20-like	ABC transporter G family member 8-like
317	Lchi23901	Lchi01501	negative_coexpression	-0.98036134	0.98036134	negative	1111	163	417.19299573	B-box zinc finger protein 20-like	proteasome subunit beta type-7-B
318	Lchi08779	Lchi11642	positive_coexpression	0.97126627	0.97126627	positive	1025	180	417.19249976	AP2/ERF and B3 domain-containing transcription repressor RAV2-like	arogenate dehydrogenase 2, chloroplastic-like
319	Lchi02551	Lchi17168	positive_coexpression	0.97470921	0.97470921	positive	1035	177	417.18806716	transcription factor bHLH62-like isoform X1	thiamine thiazole synthase 2, chloroplastic-like
320	Lchi05992	Lchi17615	positive_coexpression	0.98135209	0.98135209	positive	1021	177	417.18084166	ethylene-responsive transcription factor 2-like	zinc finger CCCH domain-containing protein 53-like isoform X2
321	Lchi05992	Lchi18724	positive_coexpression	0.97848964	0.97848964	positive	1021	178	417.13737516	ethylene-responsive transcription factor 2-like	protein DETOXIFICATION 33-like
322	Lchi01491	Lchi11642	positive_coexpression	0.99164009	0.99164009	positive	983	180	417.12583359	scarecrow-like protein 27	arogenate dehydrogenase 2, chloroplastic-like
323	Lchi06007	Lchi18724	positive_coexpression	0.97550106	0.97550106	positive	1027	178	417.08346090	homeobox-leucine zipper protein HAT2-like	protein DETOXIFICATION 33-like
324	Lchi18250	Lchi11642	positive_coexpression	0.94722027	0.94722027	positive	1077	180	417.05668544	transcription factor bHLH93	arogenate dehydrogenase 2, chloroplastic-like
