Orthogroup	C_lanceolata_gene	P_abies_gene	C_lanceolata_orthofinder_id	P_abies_orthofinder_id
OG0005220	CULA02G54940	MA_121856g0010	Cula__CULA02G54940	Pa__MA_121856g0010
OG0005225	CULA02G41180	MA_7502g0010	Cula__CULA02G41180	Pa__MA_7502g0010
OG0005227	CULA01G70360	MA_10435716g0010	Cula__CULA01G70360	Pa__MA_10435716g0010
OG0005231	CULA02G38810	MA_881995g0010	Cula__CULA02G38810	Pa__MA_881995g0010
OG0005235	CULA11G20480	MA_18020g0010	Cula__CULA11G20480	Pa__MA_18020g0010
OG0005240	CULA10G44880	MA_10427055g0010	Cula__CULA10G44880	Pa__MA_10427055g0010
OG0005242	CULA07G34510	MA_91518g0010	Cula__CULA07G34510	Pa__MA_91518g0010
OG0005243	CULA01G77170	MA_118270g0010	Cula__CULA01G77170	Pa__MA_118270g0010
OG0005250	CULA06G53520	MA_9412393g0010	Cula__CULA06G53520	Pa__MA_9412393g0010
OG0005254	CULA02G59680	MA_3653g0010	Cula__CULA02G59680	Pa__MA_3653g0010
OG0005259	CULA07G09580	MA_10432072g0010	Cula__CULA07G09580	Pa__MA_10432072g0010
OG0005260	CULA06G19670	MA_13032g0010	Cula__CULA06G19670	Pa__MA_13032g0010
OG0005264	CULA03G44850	MA_83500g0010	Cula__CULA03G44850	Pa__MA_83500g0010
OG0005267	CULA09G09680	MA_87385g0010	Cula__CULA09G09680	Pa__MA_87385g0010
OG0005276	CULA03G67850	MA_6930g0010	Cula__CULA03G67850	Pa__MA_6930g0010
OG0005282	CULA08G42540	MA_63026g0010	Cula__CULA08G42540	Pa__MA_63026g0010
OG0005283	CULA03G63110	MA_10430820g0010	Cula__CULA03G63110	Pa__MA_10430820g0010
OG0005284	CULA08G25130	MA_10428330g0010	Cula__CULA08G25130	Pa__MA_10428330g0010
OG0005286	CULA01G01520	MA_9578080g0010	Cula__CULA01G01520	Pa__MA_9578080g0010
OG0005293	CULASca12000.1	MA_109678g0010	Cula__CULASca12000.1	Pa__MA_109678g0010
OG0005310	CULA06G51800	MA_6993g0010	Cula__CULA06G51800	Pa__MA_6993g0010
OG0005311	CULA01G45810	MA_204656g0010	Cula__CULA01G45810	Pa__MA_204656g0010
OG0005314	CULA02G25890	MA_10429085g0010	Cula__CULA02G25890	Pa__MA_10429085g0010
OG0005316	CULA09G05620	MA_9942387g0010	Cula__CULA09G05620	Pa__MA_9942387g0010
OG0005317	CULA05G48220	MA_10426218g0010	Cula__CULA05G48220	Pa__MA_10426218g0010
OG0005319	CULA07G54050	MA_10430738g0010	Cula__CULA07G54050	Pa__MA_10430738g0010
OG0005324	CULA08G30260	MA_103379g0010	Cula__CULA08G30260	Pa__MA_103379g0010
OG0005325	CULA03G44830	MA_10425759g0010	Cula__CULA03G44830	Pa__MA_10425759g0010
OG0005327	CULA01G51270	MA_10430687g0010	Cula__CULA01G51270	Pa__MA_10430687g0010
OG0005331	CULA04G40120	MA_10435670g0010	Cula__CULA04G40120	Pa__MA_10435670g0010
OG0005336	CULA10G10660	MA_140428g0010	Cula__CULA10G10660	Pa__MA_140428g0010
OG0005337	CULA09G17640	MA_66130g0010	Cula__CULA09G17640	Pa__MA_66130g0010
OG0005338	CULA04G17900	MA_134470g0010	Cula__CULA04G17900	Pa__MA_134470g0010
OG0005342	CULA04G59630	MA_10429879g0020	Cula__CULA04G59630	Pa__MA_10429879g0020
OG0005344	CULA10G01500	MA_27343g0010	Cula__CULA10G01500	Pa__MA_27343g0010
OG0005348	CULA05G24780	MA_2791g0010	Cula__CULA05G24780	Pa__MA_2791g0010
OG0005352	CULA01G64470	MA_52277g0010	Cula__CULA01G64470	Pa__MA_52277g0010
OG0005356	CULA08G29950	MA_10435894g0010	Cula__CULA08G29950	Pa__MA_10435894g0010
OG0005358	CULA11G19570	MA_31668g0010	Cula__CULA11G19570	Pa__MA_31668g0010
OG0005361	CULA05G36940	MA_14527g0010	Cula__CULA05G36940	Pa__MA_14527g0010
OG0005370	CULA10G41560	MA_101097g0010	Cula__CULA10G41560	Pa__MA_101097g0010
OG0005378	CULA01G45480	MA_508435g0010	Cula__CULA01G45480	Pa__MA_508435g0010
OG0005379	CULA02G64720	MA_10435921g0010	Cula__CULA02G64720	Pa__MA_10435921g0010
OG0005380	CULA02G35700	MA_158232g0010	Cula__CULA02G35700	Pa__MA_158232g0010
OG0005381	CULA08G04370	MA_10429237g0010	Cula__CULA08G04370	Pa__MA_10429237g0010
OG0005387	CULA02G64680	MA_70291g0010	Cula__CULA02G64680	Pa__MA_70291g0010
OG0005389	CULA08G21410	MA_87584g0010	Cula__CULA08G21410	Pa__MA_87584g0010
OG0005402	CULA08G26700	MA_16835g0010	Cula__CULA08G26700	Pa__MA_16835g0010
OG0005406	CULA08G47240	MA_10048g0010	Cula__CULA08G47240	Pa__MA_10048g0010
OG0005409	CULA03G12780	MA_232327g0010	Cula__CULA03G12780	Pa__MA_232327g0010
OG0005410	CULA04G55680	MA_915042g0010	Cula__CULA04G55680	Pa__MA_915042g0010
OG0005412	CULA02G01770	MA_9981156g0010	Cula__CULA02G01770	Pa__MA_9981156g0010
OG0005415	CULA02G69560	MA_10430689g0020	Cula__CULA02G69560	Pa__MA_10430689g0020
OG0005416	CULA01G10850	MA_101135g0010	Cula__CULA01G10850	Pa__MA_101135g0010
OG0005419	CULA01G50590	MA_112953g0010	Cula__CULA01G50590	Pa__MA_112953g0010
OG0005420	CULA09G35660	MA_10002g0020	Cula__CULA09G35660	Pa__MA_10002g0020
OG0005422	CULA02G71190	MA_10428311g0010	Cula__CULA02G71190	Pa__MA_10428311g0010
OG0005424	CULA01G88670	MA_10435915g0010	Cula__CULA01G88670	Pa__MA_10435915g0010
OG0005425	CULA02G45490	MA_94287g0010	Cula__CULA02G45490	Pa__MA_94287g0010
OG0005426	CULA09G43150	MA_831116g0010	Cula__CULA09G43150	Pa__MA_831116g0010
OG0005428	CULA01G12910	MA_844920g0010	Cula__CULA01G12910	Pa__MA_844920g0010
OG0005432	CULA03G54850	MA_10436167g0010	Cula__CULA03G54850	Pa__MA_10436167g0010
OG0005438	CULA01G86780	MA_348246g0010	Cula__CULA01G86780	Pa__MA_348246g0010
OG0005440	CULA08G49330	MA_10434138g0010	Cula__CULA08G49330	Pa__MA_10434138g0010
OG0005446	CULA04G08280	MA_510935g0010	Cula__CULA04G08280	Pa__MA_510935g0010
OG0005447	CULA09G01250	MA_10435204g0010	Cula__CULA09G01250	Pa__MA_10435204g0010
OG0005449	CULA05G31930	MA_18829g0010	Cula__CULA05G31930	Pa__MA_18829g0010
OG0005450	CULASca42910.1	MA_67650g0010	Cula__CULASca42910.1	Pa__MA_67650g0010
OG0005452	CULA05G26730	MA_10432820g0010	Cula__CULA05G26730	Pa__MA_10432820g0010
OG0005453	CULA05G34710	MA_10431503g0010	Cula__CULA05G34710	Pa__MA_10431503g0010
OG0005457	CULA01G80820	MA_10435225g0010	Cula__CULA01G80820	Pa__MA_10435225g0010
OG0005464	CULA08G36710	MA_203823g0010	Cula__CULA08G36710	Pa__MA_203823g0010
OG0005467	CULA10G30330	MA_23261g0010	Cula__CULA10G30330	Pa__MA_23261g0010
OG0005474	CULA02G53480	MA_10431516g0010	Cula__CULA02G53480	Pa__MA_10431516g0010
OG0005475	CULA07G35870	MA_7893999g0010	Cula__CULA07G35870	Pa__MA_7893999g0010
OG0005476	CULA05G05140	MA_10436831g0010	Cula__CULA05G05140	Pa__MA_10436831g0010
OG0005478	CULA02G30410	MA_72319g0010	Cula__CULA02G30410	Pa__MA_72319g0010
OG0005485	CULA11G16540	MA_6963649g0010	Cula__CULA11G16540	Pa__MA_6963649g0010
OG0005490	CULA08G15970	MA_10428327g0010	Cula__CULA08G15970	Pa__MA_10428327g0010
OG0005491	CULA02G32330	MA_173536g0010	Cula__CULA02G32330	Pa__MA_173536g0010
OG0005492	CULA02G46530	MA_94776g0010	Cula__CULA02G46530	Pa__MA_94776g0010
OG0005500	CULA02G72540	MA_10430790g0030	Cula__CULA02G72540	Pa__MA_10430790g0030
OG0005501	CULA01G04910	MA_776320g0010	Cula__CULA01G04910	Pa__MA_776320g0010
OG0005502	CULA08G44330	MA_10434152g0010	Cula__CULA08G44330	Pa__MA_10434152g0010
OG0005504	CULA11G19720	MA_72515g0010	Cula__CULA11G19720	Pa__MA_72515g0010
OG0005514	CULA03G47540	MA_69471g0010	Cula__CULA03G47540	Pa__MA_69471g0010
OG0005516	CULA11G05630	MA_10430208g0010	Cula__CULA11G05630	Pa__MA_10430208g0010
OG0005520	CULA01G05150	MA_10435277g0010	Cula__CULA01G05150	Pa__MA_10435277g0010
OG0005522	CULA06G46770	MA_212100g0010	Cula__CULA06G46770	Pa__MA_212100g0010
OG0005523	CULA02G39880	MA_306938g0010	Cula__CULA02G39880	Pa__MA_306938g0010
OG0005527	CULA01G87830	MA_10428134g0010	Cula__CULA01G87830	Pa__MA_10428134g0010
OG0005531	CULA05G33490	MA_312116g0010	Cula__CULA05G33490	Pa__MA_312116g0010
OG0005536	CULA01G59870	MA_9412105g0010	Cula__CULA01G59870	Pa__MA_9412105g0010
OG0005537	CULA05G22200	MA_10434355g0010	Cula__CULA05G22200	Pa__MA_10434355g0010
OG0005545	CULA07G53010	MA_255g0010	Cula__CULA07G53010	Pa__MA_255g0010
OG0005546	CULA11G23460	MA_250841g0010	Cula__CULA11G23460	Pa__MA_250841g0010
OG0005552	CULA08G42980	MA_10432639g0010	Cula__CULA08G42980	Pa__MA_10432639g0010
OG0005557	CULA05G13570	MA_625332g0010	Cula__CULA05G13570	Pa__MA_625332g0010
OG0005566	CULASca22550.1	MA_98574g0010	Cula__CULASca22550.1	Pa__MA_98574g0010
OG0005577	CULA04G66970	MA_10307017g0030	Cula__CULA04G66970	Pa__MA_10307017g0030
OG0005579	CULA04G31750	MA_474681g0010	Cula__CULA04G31750	Pa__MA_474681g0010
OG0005580	CULA05G33440	MA_10431190g0010	Cula__CULA05G33440	Pa__MA_10431190g0010
OG0005581	CULA05G24370	MA_10436714g0010	Cula__CULA05G24370	Pa__MA_10436714g0010
OG0005586	CULA01G70110	MA_1617g0010	Cula__CULA01G70110	Pa__MA_1617g0010
OG0005597	CULA04G38570	MA_10430007g0010	Cula__CULA04G38570	Pa__MA_10430007g0010
OG0005602	CULA08G33270	MA_445567g0010	Cula__CULA08G33270	Pa__MA_445567g0010
OG0005604	CULA06G54190	MA_10426900g0010	Cula__CULA06G54190	Pa__MA_10426900g0010
OG0005609	CULA11G25340	MA_29489g0010	Cula__CULA11G25340	Pa__MA_29489g0010
OG0005612	CULA01G66600	MA_10257038g0010	Cula__CULA01G66600	Pa__MA_10257038g0010
OG0005615	CULA02G56280	MA_10430633g0010	Cula__CULA02G56280	Pa__MA_10430633g0010
OG0005623	CULA06G33460	MA_10436102g0010	Cula__CULA06G33460	Pa__MA_10436102g0010
OG0005625	CULA08G30240	MA_374514g0010	Cula__CULA08G30240	Pa__MA_374514g0010
OG0005636	CULA11G02540	MA_10436726g0010	Cula__CULA11G02540	Pa__MA_10436726g0010
OG0005638	CULA08G24300	MA_83496g0010	Cula__CULA08G24300	Pa__MA_83496g0010
OG0005642	CULA08G30870	MA_14808g0010	Cula__CULA08G30870	Pa__MA_14808g0010
OG0005649	CULA04G39840	MA_70181g0010	Cula__CULA04G39840	Pa__MA_70181g0010
OG0005653	CULA03G76890	MA_10435433g0010	Cula__CULA03G76890	Pa__MA_10435433g0010
OG0005661	CULA06G35210	MA_10432428g0010	Cula__CULA06G35210	Pa__MA_10432428g0010
OG0005665	CULA06G01330	MA_3651g0010	Cula__CULA06G01330	Pa__MA_3651g0010
OG0005667	CULA03G69050	MA_908253g0010	Cula__CULA03G69050	Pa__MA_908253g0010
OG0005670	CULA10G42430	MA_607757g0020	Cula__CULA10G42430	Pa__MA_607757g0020
OG0005675	CULA02G39290	MA_10425855g0010	Cula__CULA02G39290	Pa__MA_10425855g0010
OG0005676	CULA06G03890	MA_202526g0010	Cula__CULA06G03890	Pa__MA_202526g0010
OG0005748	CULA05G00820	MA_37256g0010	Cula__CULA05G00820	Pa__MA_37256g0010
OG0005774	CULA05G14520	MA_85955g0020	Cula__CULA05G14520	Pa__MA_85955g0020
OG0005781	CULA01G47240	MA_24390g0010	Cula__CULA01G47240	Pa__MA_24390g0010
OG0005783	CULA06G19180	MA_1134g0010	Cula__CULA06G19180	Pa__MA_1134g0010
OG0005787	CULA02G46930	MA_140611g0010	Cula__CULA02G46930	Pa__MA_140611g0010
OG0005803	CULA08G05580	MA_129080g0010	Cula__CULA08G05580	Pa__MA_129080g0010
OG0005806	CULA02G41710	MA_10437037g0010	Cula__CULA02G41710	Pa__MA_10437037g0010
OG0005807	CULA05G43930	MA_275653g0010	Cula__CULA05G43930	Pa__MA_275653g0010
OG0005817	CULA06G35060	MA_47673g0010	Cula__CULA06G35060	Pa__MA_47673g0010
OG0005820	CULA01G64110	MA_103246g0010	Cula__CULA01G64110	Pa__MA_103246g0010
OG0005828	CULA02G13480	MA_44557g0010	Cula__CULA02G13480	Pa__MA_44557g0010
OG0005837	CULA02G38640	MA_8595455g0010	Cula__CULA02G38640	Pa__MA_8595455g0010
OG0005839	CULA03G66540	MA_21335g0010	Cula__CULA03G66540	Pa__MA_21335g0010
OG0005843	CULA09G27710	MA_28816g0010	Cula__CULA09G27710	Pa__MA_28816g0010
OG0005844	CULA07G53100	MA_42230g0010	Cula__CULA07G53100	Pa__MA_42230g0010
OG0005852	CULA09G40880	MA_10429895g0010	Cula__CULA09G40880	Pa__MA_10429895g0010
OG0005854	CULA04G20290	MA_351525g0010	Cula__CULA04G20290	Pa__MA_351525g0010
OG0005868	CULA09G15540	MA_217472g0010	Cula__CULA09G15540	Pa__MA_217472g0010
OG0005872	CULA04G64680	MA_103974g0010	Cula__CULA04G64680	Pa__MA_103974g0010
OG0005876	CULA03G04640	MA_10433346g0010	Cula__CULA03G04640	Pa__MA_10433346g0010
OG0005878	CULA01G38500	MA_10426904g0010	Cula__CULA01G38500	Pa__MA_10426904g0010
OG0005881	CULA02G21510	MA_10426894g0010	Cula__CULA02G21510	Pa__MA_10426894g0010
OG0005886	CULA09G40400	MA_130339g0010	Cula__CULA09G40400	Pa__MA_130339g0010
OG0005889	CULA03G54540	MA_9199701g0010	Cula__CULA03G54540	Pa__MA_9199701g0010
OG0005896	CULA09G26690	MA_82334g0010	Cula__CULA09G26690	Pa__MA_82334g0010
OG0005899	CULA05G02530	MA_61041g0010	Cula__CULA05G02530	Pa__MA_61041g0010
OG0005902	CULA11G14580	MA_9130g0020	Cula__CULA11G14580	Pa__MA_9130g0020
OG0005903	CULA07G17340	MA_19599g0010	Cula__CULA07G17340	Pa__MA_19599g0010
OG0005904	CULA07G38320	MA_321399g0010	Cula__CULA07G38320	Pa__MA_321399g0010
OG0005906	CULA02G38610	MA_13648g0020	Cula__CULA02G38610	Pa__MA_13648g0020
OG0005909	CULA11G13600	MA_3413240g0010	Cula__CULA11G13600	Pa__MA_3413240g0010
OG0005920	CULA03G78100	MA_10432586g0010	Cula__CULA03G78100	Pa__MA_10432586g0010
OG0005927	CULA10G41370	MA_103595g0010	Cula__CULA10G41370	Pa__MA_103595g0010
OG0005929	CULA09G25370	MA_10430239g0010	Cula__CULA09G25370	Pa__MA_10430239g0010
OG0005933	CULA10G21940	MA_10435789g0020	Cula__CULA10G21940	Pa__MA_10435789g0020
OG0005934	CULA05G36420	MA_205985g0010	Cula__CULA05G36420	Pa__MA_205985g0010
OG0005937	CULA10G28350	MA_2434g0010	Cula__CULA10G28350	Pa__MA_2434g0010
OG0005944	CULA09G20290	MA_10430623g0010	Cula__CULA09G20290	Pa__MA_10430623g0010
OG0005947	CULA11G06400	MA_126387g0010	Cula__CULA11G06400	Pa__MA_126387g0010
OG0005950	CULA01G75070	MA_10432607g0020	Cula__CULA01G75070	Pa__MA_10432607g0020
OG0005951	CULA03G75750	MA_608857g0010	Cula__CULA03G75750	Pa__MA_608857g0010
OG0005952	CULA10G45390	MA_158483g0010	Cula__CULA10G45390	Pa__MA_158483g0010
OG0005960	CULA04G17850	MA_92809g0010	Cula__CULA04G17850	Pa__MA_92809g0010
OG0005962	CULASca16520.1	MA_10433652g0010	Cula__CULASca16520.1	Pa__MA_10433652g0010
OG0005966	CULA09G24790	MA_480180g0010	Cula__CULA09G24790	Pa__MA_480180g0010
OG0005967	CULA02G17650	MA_10163020g0010	Cula__CULA02G17650	Pa__MA_10163020g0010
OG0005976	CULA01G42730	MA_53302g0010	Cula__CULA01G42730	Pa__MA_53302g0010
OG0005978	CULA01G06940	MA_8795886g0010	Cula__CULA01G06940	Pa__MA_8795886g0010
OG0005979	CULA05G01860	MA_10278721g0010	Cula__CULA05G01860	Pa__MA_10278721g0010
OG0005982	CULA02G00360	MA_39199g0010	Cula__CULA02G00360	Pa__MA_39199g0010
OG0005987	CULA07G32460	MA_11783g0010	Cula__CULA07G32460	Pa__MA_11783g0010
OG0005988	CULA04G29010	MA_10435563g0010	Cula__CULA04G29010	Pa__MA_10435563g0010
OG0005993	CULA08G33100	MA_10432461g0010	Cula__CULA08G33100	Pa__MA_10432461g0010
OG0005995	CULA11G33800	MA_12771g0010	Cula__CULA11G33800	Pa__MA_12771g0010
OG0006000	CULA07G00210	MA_538432g0010	Cula__CULA07G00210	Pa__MA_538432g0010
OG0006009	CULA09G39570	MA_10436078g0010	Cula__CULA09G39570	Pa__MA_10436078g0010
OG0006018	CULA05G55670	MA_10428568g0010	Cula__CULA05G55670	Pa__MA_10428568g0010
OG0006025	CULA10G23440	MA_16923g0030	Cula__CULA10G23440	Pa__MA_16923g0030
OG0006029	CULA03G24340	MA_10433939g0010	Cula__CULA03G24340	Pa__MA_10433939g0010
OG0006030	CULA05G26560	MA_10217744g0010	Cula__CULA05G26560	Pa__MA_10217744g0010
OG0006038	CULA03G59310	MA_10430976g0010	Cula__CULA03G59310	Pa__MA_10430976g0010
OG0006046	CULA06G41250	MA_14730g0020	Cula__CULA06G41250	Pa__MA_14730g0020
OG0006063	CULA10G17190	MA_8446265g0010	Cula__CULA10G17190	Pa__MA_8446265g0010
OG0006072	CULA09G25260	MA_10428370g0010	Cula__CULA09G25260	Pa__MA_10428370g0010
OG0006073	CULA01G50190	MA_464043g0010	Cula__CULA01G50190	Pa__MA_464043g0010
OG0006082	CULA02G29830	MA_94042g0010	Cula__CULA02G29830	Pa__MA_94042g0010
OG0006087	CULA10G32180	MA_33300g0010	Cula__CULA10G32180	Pa__MA_33300g0010
OG0006089	CULA05G00410	MA_55902g0010	Cula__CULA05G00410	Pa__MA_55902g0010
OG0006091	CULA08G31490	MA_3279g0010	Cula__CULA08G31490	Pa__MA_3279g0010
OG0006094	CULA06G35690	MA_16397g0010	Cula__CULA06G35690	Pa__MA_16397g0010
OG0006112	CULA09G07060	MA_9990169g0010	Cula__CULA09G07060	Pa__MA_9990169g0010
OG0006114	CULA01G16000	MA_35771g0010	Cula__CULA01G16000	Pa__MA_35771g0010
OG0006119	CULA09G26770	MA_10432549g0010	Cula__CULA09G26770	Pa__MA_10432549g0010
OG0006120	CULA09G37560	MA_215727g0010	Cula__CULA09G37560	Pa__MA_215727g0010
OG0006124	CULA03G73430	MA_108340g0010	Cula__CULA03G73430	Pa__MA_108340g0010
OG0006132	CULA06G21260	MA_474079g0010	Cula__CULA06G21260	Pa__MA_474079g0010
OG0006135	CULA03G80800	MA_10433694g0010	Cula__CULA03G80800	Pa__MA_10433694g0010
OG0006139	CULA05G31910	MA_10436959g0010	Cula__CULA05G31910	Pa__MA_10436959g0010
OG0006146	CULA06G40690	MA_113320g0010	Cula__CULA06G40690	Pa__MA_113320g0010
OG0006148	CULA08G28910	MA_10434632g0010	Cula__CULA08G28910	Pa__MA_10434632g0010
OG0006154	CULA01G17160	MA_4997g0010	Cula__CULA01G17160	Pa__MA_4997g0010
OG0006170	CULA09G23870	MA_18730g0010	Cula__CULA09G23870	Pa__MA_18730g0010
OG0006171	CULA03G32920	MA_13210g0010	Cula__CULA03G32920	Pa__MA_13210g0010
OG0006183	CULA08G30510	MA_90345g0010	Cula__CULA08G30510	Pa__MA_90345g0010
OG0006186	CULA09G37060	MA_10427827g0020	Cula__CULA09G37060	Pa__MA_10427827g0020
OG0006192	CULA03G46910	MA_10426700g0010	Cula__CULA03G46910	Pa__MA_10426700g0010
OG0006203	CULA01G59220	MA_10434111g0010	Cula__CULA01G59220	Pa__MA_10434111g0010
OG0006206	CULA02G49620	MA_58340g0010	Cula__CULA02G49620	Pa__MA_58340g0010
OG0006216	CULA01G05660	MA_63764g0010	Cula__CULA01G05660	Pa__MA_63764g0010
OG0006217	CULA03G82660	MA_20596g0020	Cula__CULA03G82660	Pa__MA_20596g0020
OG0006219	CULA06G09490	MA_139238g0010	Cula__CULA06G09490	Pa__MA_139238g0010
OG0006224	CULA11G10270	MA_13796g0010	Cula__CULA11G10270	Pa__MA_13796g0010
OG0006225	CULA11G00940	MA_855574g0010	Cula__CULA11G00940	Pa__MA_855574g0010
OG0006233	CULA08G00990	MA_10429615g0010	Cula__CULA08G00990	Pa__MA_10429615g0010
OG0006235	CULA01G89400	MA_10430175g0010	Cula__CULA01G89400	Pa__MA_10430175g0010
OG0006244	CULA07G04220	MA_10429683g0010	Cula__CULA07G04220	Pa__MA_10429683g0010
OG0006250	CULA10G17240	MA_10179679g0010	Cula__CULA10G17240	Pa__MA_10179679g0010
OG0006253	CULA02G70910	MA_370678g0010	Cula__CULA02G70910	Pa__MA_370678g0010
OG0006254	CULA02G70800	MA_9222071g0010	Cula__CULA02G70800	Pa__MA_9222071g0010
OG0006255	CULA11G06510	MA_897274g0010	Cula__CULA11G06510	Pa__MA_897274g0010
OG0006259	CULA06G34060	MA_10436337g0010	Cula__CULA06G34060	Pa__MA_10436337g0010
OG0006266	CULA10G03110	MA_10428053g0010	Cula__CULA10G03110	Pa__MA_10428053g0010
OG0006267	CULA03G48590	MA_895242g0020	Cula__CULA03G48590	Pa__MA_895242g0020
OG0006268	CULA10G20180	MA_19799g0010	Cula__CULA10G20180	Pa__MA_19799g0010
OG0006276	CULA02G57920	MA_27093g0010	Cula__CULA02G57920	Pa__MA_27093g0010
OG0006278	CULA07G07540	MA_189742g0010	Cula__CULA07G07540	Pa__MA_189742g0010
OG0006279	CULA02G27940	MA_488033g0010	Cula__CULA02G27940	Pa__MA_488033g0010
OG0006281	CULA01G18740	MA_78910g0010	Cula__CULA01G18740	Pa__MA_78910g0010
OG0006282	CULA06G57100	MA_2814g0010	Cula__CULA06G57100	Pa__MA_2814g0010
OG0006286	CULA03G74990	MA_10434165g0010	Cula__CULA03G74990	Pa__MA_10434165g0010
OG0006290	CULA02G36770	MA_81717g0010	Cula__CULA02G36770	Pa__MA_81717g0010
OG0006298	CULA05G28030	MA_10270424g0010	Cula__CULA05G28030	Pa__MA_10270424g0010
OG0006300	CULA06G39890	MA_20447g0010	Cula__CULA06G39890	Pa__MA_20447g0010
OG0006303	CULA04G51950	MA_3400914g0010	Cula__CULA04G51950	Pa__MA_3400914g0010
OG0006309	CULA07G04510	MA_10435139g0010	Cula__CULA07G04510	Pa__MA_10435139g0010
OG0006312	CULA05G29980	MA_10436376g0010	Cula__CULA05G29980	Pa__MA_10436376g0010
OG0006313	CULA08G00230	MA_450197g0010	Cula__CULA08G00230	Pa__MA_450197g0010
OG0006314	CULA08G33250	MA_10085280g0010	Cula__CULA08G33250	Pa__MA_10085280g0010
OG0006316	CULA02G39540	MA_10435696g0010	Cula__CULA02G39540	Pa__MA_10435696g0010
OG0006317	CULA11G13210	MA_10435952g0010	Cula__CULA11G13210	Pa__MA_10435952g0010
OG0006318	CULA08G28160	MA_10429451g0010	Cula__CULA08G28160	Pa__MA_10429451g0010
OG0006319	CULA11G19370	MA_16080g0010	Cula__CULA11G19370	Pa__MA_16080g0010
OG0006321	CULA03G49810	MA_18539g0010	Cula__CULA03G49810	Pa__MA_18539g0010
OG0006322	CULA02G45150	MA_24566g0010	Cula__CULA02G45150	Pa__MA_24566g0010
OG0006327	CULA01G46090	MA_134156g0010	Cula__CULA01G46090	Pa__MA_134156g0010
OG0006352	CULA08G11350	MA_10435773g0010	Cula__CULA08G11350	Pa__MA_10435773g0010
OG0006353	CULA07G21070	MA_418221g0010	Cula__CULA07G21070	Pa__MA_418221g0010
OG0006355	CULA07G29420	MA_10437213g0010	Cula__CULA07G29420	Pa__MA_10437213g0010
OG0006372	CULA08G25090	MA_598246g0010	Cula__CULA08G25090	Pa__MA_598246g0010
OG0006375	CULA03G02670	MA_123230g0010	Cula__CULA03G02670	Pa__MA_123230g0010
OG0006385	CULA06G26310	MA_10428599g0010	Cula__CULA06G26310	Pa__MA_10428599g0010
OG0006387	CULA06G23350	MA_7140g0010	Cula__CULA06G23350	Pa__MA_7140g0010
OG0006397	CULA06G28810	MA_102279g0010	Cula__CULA06G28810	Pa__MA_102279g0010
OG0006402	CULA06G56300	MA_120807g0010	Cula__CULA06G56300	Pa__MA_120807g0010
OG0006409	CULA04G49920	MA_10428171g0010	Cula__CULA04G49920	Pa__MA_10428171g0010
OG0006416	CULA06G32950	MA_10436010g0010	Cula__CULA06G32950	Pa__MA_10436010g0010
OG0006417	CULA02G46850	MA_17217g0020	Cula__CULA02G46850	Pa__MA_17217g0020
OG0006419	CULA05G01100	MA_100396g0010	Cula__CULA05G01100	Pa__MA_100396g0010
OG0006429	CULA07G34780	MA_77147g0010	Cula__CULA07G34780	Pa__MA_77147g0010
OG0006439	CULA08G38240	MA_10435124g0010	Cula__CULA08G38240	Pa__MA_10435124g0010
OG0006443	CULA05G00070	MA_10428202g0010	Cula__CULA05G00070	Pa__MA_10428202g0010
OG0006445	CULA03G60330	MA_10239556g0010	Cula__CULA03G60330	Pa__MA_10239556g0010
OG0006448	CULA01G23110	MA_45317g0010	Cula__CULA01G23110	Pa__MA_45317g0010
OG0006450	CULA02G27260	MA_94637g0010	Cula__CULA02G27260	Pa__MA_94637g0010
OG0006455	CULA09G26230	MA_1315g0020	Cula__CULA09G26230	Pa__MA_1315g0020
OG0006465	CULA05G30740	MA_174344g0010	Cula__CULA05G30740	Pa__MA_174344g0010
OG0006472	CULA11G23660	MA_207821g0010	Cula__CULA11G23660	Pa__MA_207821g0010
OG0006473	CULA01G45720	MA_124463g0010	Cula__CULA01G45720	Pa__MA_124463g0010
OG0006476	CULA07G49190	MA_179056g0010	Cula__CULA07G49190	Pa__MA_179056g0010
OG0006477	CULA10G18550	MA_10429835g0010	Cula__CULA10G18550	Pa__MA_10429835g0010
OG0006480	CULA11G21830	MA_6922402g0010	Cula__CULA11G21830	Pa__MA_6922402g0010
OG0006483	CULA02G28450	MA_12387g0010	Cula__CULA02G28450	Pa__MA_12387g0010
OG0006484	CULA10G19120	MA_10425977g0020	Cula__CULA10G19120	Pa__MA_10425977g0020
OG0006485	CULA07G38250	MA_103175g0010	Cula__CULA07G38250	Pa__MA_103175g0010
OG0006487	CULA09G44610	MA_845882g0010	Cula__CULA09G44610	Pa__MA_845882g0010
OG0006494	CULA05G27980	MA_8038497g0010	Cula__CULA05G27980	Pa__MA_8038497g0010
OG0006499	CULA02G00740	MA_10266913g0010	Cula__CULA02G00740	Pa__MA_10266913g0010
OG0006501	CULA06G40260	MA_10139g0010	Cula__CULA06G40260	Pa__MA_10139g0010
OG0006509	CULA01G63680	MA_10436876g0010	Cula__CULA01G63680	Pa__MA_10436876g0010
OG0006522	CULA11G25510	MA_121432g0010	Cula__CULA11G25510	Pa__MA_121432g0010
OG0006600	CULA02G54500	MA_10427654g0010	Cula__CULA02G54500	Pa__MA_10427654g0010
OG0006610	CULA10G46430	MA_36542g0010	Cula__CULA10G46430	Pa__MA_36542g0010
